Plant name;Common name (English);Origin;Classification;Diameter;Height;Colors (leaf);Colors (flower);Colors (bract);Colors (fruit);Planting period;Growth period;Blooming period;Fruiting period;Tags;Sunlight;Watering;Fertilizing;Pruning;Soil;Soil moisture MIN (%);Soil moisture MAX (%);Soil conductivity MIN (μs/cm);Soil conductivity MAX (μs/cm);Soil PH MIN;Soil PH MAX;Temperature MIN (℃);Temperature MAX (℃);Humidity MIN (%RH);Humidity MAX (%RH);Light MIN (lux);Light MAX (lux);Light MIN (mmol);Light MAX (mmol);
Abelia chinensis;;China;Caprifoliaceae,Abelia;≥10;≥15;;59,144;;;;;;7-8;10;;3-4;2,6;6,0;2;19;15;60;350;2000;0;0;8;35;30;85;3500;30000;2500;4500
Abelia dielsii;;China;Caprifoliaceae,Abelia;≥15;≥25;;144,140;;;;;;5;8-9;;2-4;2,6;6,0;2;8;15;60;350;2000;5.5;6.5;5;35;30;80;3500;20000;2000;4000
Abelia × grandiflora;;China;Caprifoliaceae,Abelia;≥15;≥25;;144,140;;;;;;5;8-9;;2-4;2,6;6,0;2;8;15;60;350;2000;5.5;6.5;5;35;30;80;3500;20000;2000;4000
Abelmoschus esculentus;;Africa,Tropical Asia;Malvaceae,Abelmoschus;≥15;≥25;;144,146;;;;;;6-10;;;4;2,6;6,0;1;19;15;60;350;2000;0;0;10;35;30;80;4000;55000;3300;6500
Abelmoschus moschatus;;China,Vietnam,Laos;Malvaceae,Lavatera;≥10;15-18;;146;;;;;;6-10;;;4;2,6;4,128;4;6;15;60;350;2000;0;0;5;35;30;80;3700;60000;4000;6000
Abelmoschus sagittifolius;;Asia;Malvaceae,Abelmoschus;≥15;≥25;;120,146,106;;;;spring,autumn;;5-9;;69;3;2,6;7,0;1;19;15;60;350;2000;0;0;10;35;30;80;2200;55000;3100;7200
Abutilon megapotamicum;;Subtropical areas;Malvaceae,Abutilon;≥10;15-50;;120,144,146;;;;;;4-6;;;2-3;3,6;6,0;1;19;15;60;350;2000;0;0;10;32;30;80;3700;30000;2500;4500
Abutilon palmeri;;South America,India,Tropical Asia;Malvaceae,Abutilon;≥10;15-20;;146;;;;;;7-8;;;4;4;11,160;0;19;15;60;350;2000;0;0;5;35;30;80;3700;50000;3500;5000
Abutilon pictum;;Subtropical areas;Malvaceae,Abutilon;≥10;15-50;;52;;;;;;4-6;;;2-3;3,6;6,0;1;8;15;60;350;2000;3.7;5.2;10;32;30;80;3700;30000;2500;4500
Abutilon striatum;;South America;Malvaceae,Abutilon;≥10;≥15;56;120;;;;;;5-10;;;4;2,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;4000;50000;3500;5000
Acacia stenophylla;;Southeast Asia;Leguminosae,Acacia;≥15;≥25;;84,52;;;;;;3-10;8-12;;4;2,6;5,0;2;19;15;60;350;2000;0;0;5;35;30;80;4000;50000;3500;5000
Acanthocereus tetragonus 'Fairy Castles';;Mexico;Cactaceae,Rhipsalis;≥10;≥15;;56;;82,106,59;;spring,summer,autumn;;;;35;4;2,6;7,0;1;18;7;50;100;1000;0;0;5;35;15;80;3000;100000;3500;8700
Acanthus ilicifolius;;China;Acanthaceae,Acanthus;≥20;≥25;;144;;82;;;;5-9;;;1-2;2,6;6,0;1;8;15;60;350;2000;0;0;10;32;30;80;1500;6000;1200;2500
Acanthus mollis;;Mediterranean region;Acanthaceae,Acanthus;≥10;15-18;;144,90;;;;;;5-8;10-11;;1-2;2,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;1500;6000;1200;2500
Acanthus spinosus;;China;Acanthaceae,Acanthus;≥20;≥25;;144,119;;82;;;;5-9;;;1-2;2,6;6,0;1;8;15;60;350;2000;0;0;10;32;30;80;1500;6000;1200;2500
Acer campestre;;China;Aceraceae,Acer;≥25;≥30;56,146;147;;53;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer capillipes;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer cappadocicum;;China;Aceraceae,Acer;≥25;≥30;;82,147;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer carpinifolium;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer circinatum;;North America;Sapindaceae,Acer;≥20;≥25;;96;;53;;;;5;9;;1-2;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;1500;6000;1200;2500
Acer cissifolium;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
